place_id,name,address,raw_phone,wa_number,website,rating,user_ratings_total,place_types,price_level,scraped_at
ChIJBw0kzDpa4joRoS5uuhj2Wc0,Pussalla Meat Shop - Nawala,"VVQP+5W2, B470, Sri Jayawardenepura Kotte 10107, Sri Lanka",0112 937 008,,,4,14,"store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJjYpmOj5a4joRC1pa8qsVqKw,Hondahitha Meekiri - The Curd Shop (Pagoda),"2/1, 5th Lane, Pagoda Rd, Sri Jayawardenepura Kotte 10100, Sri Lanka",0112 811 341,,https://www.hondahitha.com/,4.5,90,"convenience_store, store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJT-jib5Ra4joRHEsyvVhmwig,Pussalla Meat Shop Boralesgamuwa,"Boralesgamuwa, Sri Lanka",,,,3.3,7,"store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJXw5kyFxb4joRklebmGVd-7s,BTS Shop Sri Lanka,"96, 12 Old Kesbewa Rd, Nugegoda, Sri Lanka",,,,4.3,4,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJs7lcS-db4joRKtxhUkxVNew,WICK Book Shop,"43/1 Railway Ave, Nugegoda 00600, Sri Lanka",077 341 9951,94773419951,,4.9,9,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJS8zakZNQ4joRUq9TXwIxbdw,Excel Book Shop,"352/1 Pannipitiya Road, Sri Jayawardenepura Kotte, Sri Lanka",071 323 6815,94713236815,,4.7,10,"book_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJP5z7DsxR4joRhqU6MiWUv08,Ezone Electronics Pvt Ltd (Electronic Shop in Maharagama),"128B High Level Rd, Maharagama 10280, Sri Lanka",0117 333 484,,,3.6,5,"electronics_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJwfM983Vb4joRFMhJxbjHRTA,I SHOP Nugegoda,"Stanley Tilakaratne Mawatha, Nugegoda, Sri Lanka",077 050 6186,94770506186,https://m.facebook.com/iSHOPLANKA/?ref=bookmarks,4.6,36,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJzd-ejDEB4zoRshxZzVPmt_w,Shinepetal - Fresh Flower Shop,"45C Dehiwala Rd, Pepiliyana 10290, Sri Lanka",077 729 2025,94777292025,,4.7,55,"florist, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJIzzBkapZ4joR08FL-nz_vVw,M.B. Colour Center Paint Shop & Nippon CCM,"No. 390/4 Borella Road, Pannipitiya 10230, Sri Lanka",077 210 0035,94772100035,,4.4,17,"home_goods_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJF20J7oZb4joR543P9AGgufo,Simple Gift Shop,"6, 2/5 Sri Soratha Mawatha, Nugegoda 10250, Sri Lanka",071 775 9366,94717759366,,5,14,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJQyjxFmta4joRGamIR9t4MAk,Millennium Book Shop,"295 Kotte Rd, Sri Jayawardenepura Kotte, Sri Lanka",077 912 4792,94779124792,,3.6,9,"book_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJl4EGXvlR4joRLgSd-OIt0oA,Monarch Imperial,"31A New Hospital Rd, Sri Jayawardenepura Kotte 10100, Sri Lanka",0112 772 727,,http://www.monarchimperial.lk/,4.6,5912,"lodging, restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJfTZy-FpR4joRwsvRw_DZ6kw,GB Restaurant,"363/10/A pannipitiya road, Kalalgoda Rd, Battharamula 10116, Sri Lanka",070 665 9659,94706659659,https://www.facebook.com/share/1C56wbnTy8/,4.3,17,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJJd7XwUBa4joRoWyzmp7aPrQ,අඹ සෙවන Restaurant & Bar,"VVGV+J4W, Pagoda Rd, Nugegoda, Sri Lanka",0112 856 285,,,3.9,841,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJMQAenj5a4joRfAR8Yw3shiI,Garton's Ark Restaurant,"9/47 6th Lane, Pagoda Rd, Nugegoda 10250, Sri Lanka",076 800 0600,94768000600,,4.2,978,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
ChIJdVEfbQNb4joRrBrTJTaTzns,The Octa,"08 Pietersz Pl, Nugegoda, Sri Lanka",076 622 4545,94766224545,,4.5,374,"restaurant, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJq4xaT_Jb4joRQNnFa4kaVvc,Al-Maas Family Restaurant - Maharagama,"RWV8+697, Dehiwala Rd, Maharagama 10280, Sri Lanka",0113 494 965,,,3.2,437,"restaurant, food, point_of_interest, establishment",2,2025-09-28 03:41:21
